aphia_id,species,sex,spatial_scale,ices_stock,ices_area,time_period,sample_size,l25_cm,l25_se_cm,l25_ci_lower_cm,l25_ci_upper_cm,l50_cm,l50_se_cm,l50_ci_lower_cm,l50_ci_upper_cm,l75_cm,l75_se_cm,l75_ci_lower_cm,l75_ci_upper_cm,model_auc,model_tjur_r2
126436,Gadus morhua,Combined,Global,NA,NA,NA,305820,13.11,0.1,12.94,13.29,24.64,0.05,24.55,24.73,36.17,0.06,36.06,36.26,0.79,0.24
126417,Clupea harengus,Combined,Global,NA,NA,NA,269799,17.08,0.02,17.05,17.11,20.21,0.01,20.19,20.24,23.34,0.02,23.31,23.37,0.88,0.43
127143,Pleuronectes platessa,Combined,Global,NA,NA,NA,169135,12.11,0.05,12.02,12.2,17.36,0.03,17.3,17.41,22.61,0.03,22.54,22.66,0.82,0.29
127149,Scophthalmus maximus,Combined,Global,NA,NA,NA,6204,11.51,0.67,10.26,12.88,15.11,0.47,14.23,15.97,18.71,0.29,18.13,19.22,0.87,0.16
126425,Sprattus sprattus,Combined,Global,NA,NA,NA,62530,7,0.03,6.95,7.06,8.8,0.02,8.76,8.83,10.6,0.02,10.57,10.63,0.8,0.26
127160,Solea solea,Combined,Global,NA,NA,NA,20090,15.47,0.11,15.28,15.7,19.18,0.08,19.04,19.35,22.88,0.07,22.75,23.02,0.86,0.36
127139,Limanda limanda,Combined,Global,NA,NA,NA,25365,10.52,0.07,10.39,10.66,12.86,0.05,12.77,12.96,15.2,0.05,15.09,15.29,0.92,0.42
127150,Scophthalmus rhombus,Combined,Global,NA,NA,NA,2319,14.88,0.44,13.98,15.51,19.4,0.29,18.94,20,23.92,0.28,23.45,24.55,0.88,0.4
126438,Merlangius merlangus,Combined,Global,NA,NA,NA,212840,16.07,0.03,16.01,16.13,20.53,0.02,20.49,20.57,24.99,0.03,24.94,25.04,0.87,0.4
126437,Melanogrammus aeglefinus,Combined,Global,NA,NA,NA,148583,19.53,0.04,19.46,19.6,22.86,0.03,22.81,22.92,26.19,0.03,26.13,26.25,0.93,0.57
127136,Glyptocephalus cynoglossus,Combined,Global,NA,NA,NA,4987,20.79,0.4,20.03,21.59,29.53,0.26,29.05,29.95,38.28,0.48,37.43,39.17,0.72,0.15
126736,Osmerus eperlanus,Combined,Global,NA,NA,NA,211,6.73,0.69,5.18,7.66,7.93,0.42,6.76,8.49,9.13,0.29,8.57,9.64,0.89,0.26
126441,Pollachius virens,Combined,Global,NA,NA,NA,18165,42.17,0.15,41.85,42.46,49.44,0.12,49.2,49.65,56.71,0.18,56.39,57.06,0.85,0.38
126484,Merluccius merluccius,Combined,Global,NA,NA,NA,78987,26.25,0.08,26.1,26.44,35.76,0.09,35.57,35.93,45.28,0.16,44.95,45.58,0.81,0.25
126426,Engraulis encrasicolus,Combined,Global,NA,NA,NA,845,9.49,0.36,8.93,10.21,11.15,0.24,10.76,11.63,12.81,0.17,12.48,13.16,0.86,0.31
127023,Scomber scombrus,Combined,Global,NA,NA,NA,33834,24.75,0.05,24.65,24.84,26.88,0.04,26.81,26.96,29.02,0.04,28.93,29.09,0.94,0.59
126444,Trisopterus esmarkii,Combined,Global,NA,NA,NA,44311,10.01,0.05,9.93,10.1,12.66,0.03,12.61,12.72,15.31,0.03,15.24,15.37,0.8,0.27
126986,Mullus surmuletus,Combined,Global,NA,NA,NA,1988,12.52,0.23,12.14,13,15.91,0.14,15.69,16.2,19.3,0.26,18.78,19.78,0.81,0.27
126975,Dicentrarchus labrax,Combined,Global,NA,NA,NA,3863,24.42,0.53,23.29,25.49,28.43,0.34,27.79,29.18,32.44,0.24,31.99,32.89,0.89,0.29
126555,Lophius piscatorius,Combined,Global,NA,NA,NA,3744,40.82,0.42,40.05,41.61,49.12,0.47,48.36,50.06,57.42,0.68,56.36,58.81,0.94,0.59
127262,Chelidonichthys lucerna,Combined,Global,NA,NA,NA,171,17.89,1.56,14.55,20.46,23,0.92,21.05,24.59,28.11,0.88,26.17,29.85,0.77,0.21
105876,Leucoraja naevus,Combined,Global,NA,NA,NA,77,44.37,1.68,41.44,47.18,48.6,1.38,46.16,50.77,52.84,1.69,49.32,55.94,0.93,0.59
105883,Raja clavata,Combined,Global,NA,NA,NA,226,46.51,4.26,37.35,53.8,54.69,2.49,49.65,58.81,62.87,1.24,60.42,64.71,0.92,0.43
105887,Raja montagui,Combined,Global,NA,NA,NA,53,39.35,1.1,37.47,41.98,41.1,0.99,38.97,42.61,42.86,1.1,40.16,44.3,0.98,0.77
127259,Chelidonichthys cuculus,Combined,Global,NA,NA,NA,2409,17.48,0.31,16.88,18.03,21.66,0.22,21.22,22.03,25.84,0.24,25.3,26.3,0.85,0.36
126421,Sardina pilchardus,Combined,Global,NA,NA,NA,100,13.91,0.29,13.47,14.52,15.15,0.29,14.64,15.76,16.39,0.4,15.6,17.16,0.91,0.58
126445,Trisopterus luscus,Combined,Global,NA,NA,NA,3937,13.87,0.31,13.26,14.42,18.15,0.2,17.79,18.49,22.43,0.18,22.1,22.74,0.84,0.32
127146,Lepidorhombus whiffiagonis,Combined,Global,NA,NA,NA,1077,18.42,0.33,17.89,19.13,20.65,0.33,20.13,21.3,22.89,0.41,22.24,23.7,0.99,0.8
126461,Molva molva,Combined,Global,NA,NA,NA,78,48.24,3.62,42.01,55.4,58.15,3.02,52.18,63.08,68.05,3.98,59.65,74.04,0.92,0.53
105814,Scyliorhinus canicula,Combined,Global,NA,NA,NA,1679,47.05,0.4,46.34,47.74,51.8,0.27,51.28,52.25,56.55,0.41,55.71,57.27,0.92,0.59
126822,Trachurus trachurus,Combined,Global,NA,NA,NA,15124,17.73,0.06,17.6,17.83,19.61,0.04,19.52,19.68,21.49,0.06,21.38,21.59,0.95,0.63
105820,Galeorhinus galeus,Combined,Global,NA,NA,NA,53,86.63,4.14,80.45,94.88,91.61,2.66,86.63,95.55,96.58,2.27,91.43,100.38,0.97,0.75
105891,Raja undulata,Combined,Global,NA,NA,NA,239,64.81,1.48,61.86,67.43,68.99,0.96,67.12,70.64,73.17,1.18,70.87,75.42,0.97,0.76
105815,Scyliorhinus stellaris,Combined,Global,NA,NA,NA,220,72.31,2.9,67.67,78.48,83.46,1.98,79.41,87.21,94.6,2.46,90.23,99.7,0.92,0.61
105923,Squalus acanthias,Combined,Global,NA,NA,NA,78,55.35,2,51.26,59.81,62.32,1.91,58.95,65.49,69.3,3.29,62.41,74.56,0.92,0.61
150637,Eutrigla gurnardus,Combined,Global,NA,NA,NA,5451,12.62,0.26,12.08,13.06,15.29,0.17,14.97,15.57,17.97,0.12,17.74,18.19,0.89,0.34
105865,Amblyraja radiata,Combined,Global,NA,NA,NA,333,31.67,1,29.26,33.11,35.27,0.58,34,36.06,38.86,0.51,37.76,39.59,0.89,0.47
105913,Etmopterus spinax,Combined,Global,NA,NA,NA,160,28.65,0.7,27.26,30.17,31.31,0.6,30.25,32.38,33.96,0.71,32.6,35.32,0.9,0.48
126439,Micromesistius poutassou,Combined,Global,NA,NA,NA,10281,18.13,0.06,18.04,18.25,20.25,0.05,20.17,20.35,22.37,0.07,22.24,22.48,0.88,0.44
126751,Ammodytes marinus,Combined,Global,NA,NA,NA,58511,10.44,0.01,10.42,10.46,11.29,0.01,11.27,11.32,12.15,0.02,12.11,12.18,0.97,0.71
127145,Lepidorhombus boscii,Combined,Global,NA,NA,NA,7936,17.52,0.09,17.34,17.69,19.46,0.06,19.32,19.57,21.4,0.1,21.21,21.58,0.95,0.68
127251,Helicolenus dactylopterus,Combined,Global,NA,NA,NA,2550,29.49,0.51,28.58,30.52,38.75,0.89,37.63,40.78,48.02,1.45,45.83,51.19,0.73,0.1
127427,Zeus faber,Combined,Global,NA,NA,NA,452,19.28,0.96,17.26,21.38,24.01,0.68,22.85,25.59,28.74,0.63,27.55,29.93,0.91,0.45
126436,Gadus morhua,M,Global,NA,NA,NA,150396,9.27,0.17,8.93,9.55,21.4,0.09,21.22,21.55,33.52,0.09,33.36,33.69,0.76,0.18
126436,Gadus morhua,F,Global,NA,NA,NA,148286,15.25,0.12,14.98,15.46,26.95,0.07,26.81,27.07,38.64,0.1,38.47,38.81,0.8,0.25
126417,Clupea harengus,F,Global,NA,NA,NA,127803,16.69,0.03,16.63,16.75,19.98,0.02,19.93,20.02,23.26,0.02,23.22,23.3,0.86,0.38
126417,Clupea harengus,M,Global,NA,NA,NA,114794,16.3,0.04,16.22,16.38,19.75,0.03,19.7,19.8,23.21,0.03,23.16,23.25,0.85,0.35
127143,Pleuronectes platessa,M,Global,NA,NA,NA,71237,9.63,0.1,9.46,9.8,15,0.05,14.92,15.11,20.37,0.05,20.29,20.48,0.76,0.2
127143,Pleuronectes platessa,F,Global,NA,NA,NA,95855,15.19,0.06,15.07,15.3,19.8,0.04,19.71,19.87,24.4,0.04,24.31,24.48,0.86,0.37
127149,Scophthalmus maximus,M,Global,NA,NA,NA,3041,11.46,0.84,9.68,13.06,14.29,0.61,12.91,15.43,17.12,0.4,16.16,17.79,0.89,0.15
127149,Scophthalmus maximus,F,Global,NA,NA,NA,3157,15.09,0.67,13.71,16.29,18.45,0.45,17.46,19.26,21.81,0.27,21.25,22.29,0.9,0.28
126425,Sprattus sprattus,M,Global,NA,NA,NA,25755,6.42,0.06,6.3,6.54,8.14,0.04,8.06,8.2,9.86,0.03,9.81,9.91,0.78,0.19
126425,Sprattus sprattus,F,Global,NA,NA,NA,33374,6.87,0.06,6.75,6.96,8.85,0.03,8.77,8.9,10.83,0.03,10.78,10.87,0.78,0.23
127160,Solea solea,M,Global,NA,NA,NA,8740,12.82,0.21,12.44,13.24,16.76,0.14,16.54,17.01,20.7,0.12,20.49,20.92,0.81,0.29
127160,Solea solea,F,Global,NA,NA,NA,11271,18.66,0.11,18.43,18.87,21.64,0.08,21.49,21.77,24.61,0.08,24.48,24.76,0.91,0.49
127139,Limanda limanda,F,Global,NA,NA,NA,15830,11.33,0.11,11.14,11.52,13.69,0.08,13.55,13.84,16.05,0.07,15.92,16.17,0.93,0.46
127139,Limanda limanda,M,Global,NA,NA,NA,9417,10.02,0.12,9.78,10.24,12.13,0.08,11.96,12.25,14.24,0.07,14.11,14.37,0.9,0.37
127150,Scophthalmus rhombus,F,Global,NA,NA,NA,1262,17.42,0.57,16.36,18.22,21.38,0.43,20.47,21.99,25.35,0.38,24.49,25.91,0.93,0.49
127150,Scophthalmus rhombus,M,Global,NA,NA,NA,1057,12.97,0.69,11.4,13.98,17.85,0.42,17,18.48,22.72,0.38,22.02,23.55,0.83,0.34
126438,Merlangius merlangus,F,Global,NA,NA,NA,115723,17.85,0.04,17.78,17.91,22.03,0.03,21.97,22.07,26.21,0.04,26.15,26.27,0.89,0.45
126438,Merlangius merlangus,M,Global,NA,NA,NA,93574,14.66,0.05,14.55,14.76,19.07,0.04,19,19.13,23.48,0.04,23.41,23.57,0.84,0.33
126437,Melanogrammus aeglefinus,M,Global,NA,NA,NA,67400,18.25,0.05,18.15,18.33,21.33,0.04,21.25,21.38,24.4,0.04,24.32,24.47,0.93,0.55
127136,Glyptocephalus cynoglossus,F,Global,NA,NA,NA,2841,23.94,0.46,23.01,24.72,31.68,0.3,31.07,32.23,39.41,0.52,38.51,40.25,0.74,0.18
126437,Melanogrammus aeglefinus,F,Global,NA,NA,NA,80655,21.58,0.04,21.49,21.66,24.68,0.03,24.63,24.74,27.77,0.04,27.71,27.85,0.94,0.62
126441,Pollachius virens,M,Global,NA,NA,NA,9418,41.22,0.22,40.84,41.66,48.84,0.18,48.51,49.14,56.45,0.23,56.05,56.91,0.84,0.36
126484,Merluccius merluccius,F,Global,NA,NA,NA,35457,38.02,0.11,37.84,38.2,44.84,0.17,44.59,45.2,51.66,0.26,51.29,52.24,0.91,0.44
126484,Merluccius merluccius,M,Global,NA,NA,NA,35047,21.34,0.08,21.2,21.49,26.38,0.05,26.29,26.47,31.42,0.09,31.27,31.6,0.83,0.32
126441,Pollachius virens,F,Global,NA,NA,NA,8401,42.94,0.24,42.46,43.39,49.96,0.18,49.62,50.24,56.99,0.24,56.51,57.43,0.86,0.39
127136,Glyptocephalus cynoglossus,M,Global,NA,NA,NA,2079,18.24,0.56,17.2,19.41,26.52,0.34,25.79,27.23,34.8,0.67,33.69,36.42,0.7,0.13
126426,Engraulis encrasicolus,M,Global,NA,NA,NA,401,9.23,0.53,8.18,10.2,11.01,0.36,10.23,11.64,12.8,0.27,12.27,13.28,0.84,0.22
126426,Engraulis encrasicolus,F,Global,NA,NA,NA,413,8.32,0.89,6.04,9.65,10.34,0.59,8.83,11.14,12.36,0.34,11.43,12.92,0.81,0.18
127023,Scomber scombrus,F,Global,NA,NA,NA,16544,24.39,0.07,24.29,24.54,26.51,0.05,26.44,26.62,28.63,0.05,28.54,28.73,0.93,0.58
127023,Scomber scombrus,M,Global,NA,NA,NA,16662,25.09,0.06,24.98,25.21,27.22,0.05,27.11,27.31,29.35,0.06,29.23,29.45,0.93,0.59
126444,Trisopterus esmarkii,F,Global,NA,NA,NA,25253,10.99,0.06,10.89,11.1,13.39,0.03,13.32,13.44,15.78,0.04,15.7,15.85,0.83,0.32
126444,Trisopterus esmarkii,M,Global,NA,NA,NA,18049,8.83,0.09,8.64,9.02,11.67,0.05,11.58,11.76,14.52,0.05,14.43,14.6,0.76,0.19
126986,Mullus surmuletus,F,Global,NA,NA,NA,1128,11.8,0.43,10.89,12.57,16.28,0.26,15.82,16.76,20.76,0.51,19.74,21.58,0.77,0.21
126986,Mullus surmuletus,M,Global,NA,NA,NA,804,12.95,0.26,12.54,13.47,15.32,0.18,14.95,15.69,17.69,0.29,17.16,18.2,0.85,0.35
126975,Dicentrarchus labrax,F,Global,NA,NA,NA,1903,26.72,0.61,25.68,27.83,29.73,0.39,29.04,30.46,32.73,0.27,32.13,33.17,0.94,0.38
126975,Dicentrarchus labrax,M,Global,NA,NA,NA,1960,22.34,0.86,20.43,23.72,27.21,0.58,25.82,28.17,32.09,0.39,31.18,32.77,0.85,0.22
126555,Lophius piscatorius,M,Global,NA,NA,NA,1559,39.29,0.43,38.4,40.08,44,0.34,43.37,44.61,48.7,0.43,47.88,49.44,0.97,0.71
126555,Lophius piscatorius,F,Global,NA,NA,NA,1508,44.52,0.73,43.17,45.83,57.01,0.93,55.39,58.54,69.5,1.39,66.82,71.98,0.89,0.46
127262,Chelidonichthys lucerna,F,Global,NA,NA,NA,109,18.91,1.8,16.04,21.62,23.28,1.17,21.1,25.16,27.66,1,25.89,29.74,0.81,0.23
127262,Chelidonichthys lucerna,M,Global,NA,NA,NA,62,16.27,7.36,-5.82,21.34,23.02,2.48,17.22,26.31,29.76,5.73,25.19,47.78,0.71,0.12
